t,GDP,CONS,INV,INFL,UNEMP
1,99.97774975924291,60.001172768004295,20.001985091239924,0.01823238546022626,0.06837551096643922
2,99.96265232359572,60.0016967030695,20.00225755405276,0.01679350398995425,0.06856878348671908
3,99.97632136256902,60.01276442621368,20.002118827591012,0.017772995671511162,0.06771877745640742
4,99.95001752915954,60.01605826676411,19.99990780139644,0.01816693034738859,0.06834957220102184
5,99.97022727588015,60.0106385532953,20.00014931919978,0.017743547029598534,0.06998310222820613
6,100.00463661189134,60.00949197115604,19.99781588218762,0.016751079315666353,0.06941936982122902
7,99.97518487421824,60.022509060539605,20.0016469251138,0.016077984925035305,0.070865376376377
8,99.98302530883801,60.029646820898385,20.00432635242062,0.015771632025951523,0.07348297890559914
9,99.96227955605,60.02925758090676,20.007610351599343,0.014866018593277703,0.07115698933748445
10,99.9475697956351,60.025739865350864,20.007956479218674,0.01477485375033956,0.07171972683712377
11,99.94653546986513,60.02588859100255,20.007846752374768,0.014605023337530198,0.07029261086132078
12,99.96324873995249,60.04584994602815,20.00741209304402,0.015292377723878139,0.06894620469344415
13,99.94217137581624,60.031922458656965,20.00889667765881,0.015089490583380565,0.06584796656667807
14,99.95206793980034,60.04339930604638,20.008311132705078,0.013928104160232985,0.06403156239690112
15,99.95968436036353,60.060425521897,20.008152575728904,0.01531267992794377,0.0612238877915601
16,99.93558076617906,60.05519819435557,20.006924474354918,0.01556035236534321,0.06461190877141357
17,99.96397887407593,60.05244857509339,20.006804813069134,0.0156373905380746,0.06395654114923789
18,99.95724442410152,60.065263712427026,20.006244411600715,0.016837556981914432,0.06373773702781914
19,99.97261495313565,60.06345504660848,20.00930627733376,0.01796889899189201,0.06600281056862967
20,99.9695677553637,60.06991986824622,20.007605944421588,0.016622969404354943,0.06633983878643561
21,99.97240071732477,60.06467711056233,20.00736475946992,0.017604566474847587,0.0628555666188265
22,99.96115129379943,60.06452721491497,20.003761727409426,0.01693955025722144,0.06513576428380315
23,99.94128451258052,60.0644385370144,20.002181887132714,0.01737489000553734,0.06598058095868334
24,99.953988274552,60.072633941125865,20.000438508840357,0.018444865573925762,0.06829719072769573
25,99.93908502224936,60.07294111814398,19.998839200507234,0.017261598604055607,0.0675760485835556
26,99.93960893330735,60.07249919567662,19.996629111157308,0.017436696106022602,0.06797589286712924
27,99.96371876554106,60.079765689349756,19.99693435776039,0.018070100952224284,0.06678238839296587
28,99.99076025420172,60.07387822105351,19.995393946786876,0.017260553574853177,0.06413343763733567
