t,GDP,CONS,INV,INFL,UNEMP,PROD_C
1,78.60000000000001,78.60000000000001,0.0,0.31000000000000005,0.0,1.0
2,71.83175999999999,71.83175999999999,0.0,-0.00664122137404588,0.4880000000000001,1.0
3,65.44571761728,65.44571761728,0.0,-0.009676923076923027,0.5,1.0
4,59.62382892401294,59.62382892401294,0.0,-0.009736434108527092,0.5,1.0
5,54.31652558702117,54.31652558702117,0.0,-0.009796874999999816,0.5,1.0
6,49.478574037444076,49.478574037444076,0.0,-0.00985826771653553,0.5,1.0
7,45.06869795458299,45.06869795458299,0.0,-0.009920634920634885,0.5,1.0
8,41.049233508268074,41.049233508268074,0.0,-0.009983999999999993,0.5,1.0
9,37.385814526355034,37.385814526355034,0.0,-0.010048387096774247,0.5,1.0
10,34.0470849983188,34.0470849983188,0.0,-0.010113821138211354,0.5,1.0
11,31.004436549252656,31.004436549252656,0.0,-0.010180327868852257,0.5,1.0
12,28.231768722705933,28.231768722705933,0.0,-0.010247933884297566,0.5,1.0
13,25.705270097352678,25.705270097352678,0.0,-0.01031666666666664,0.5,1.0
14,23.403218432983778,23.403218432983778,0.0,-0.010386554621848787,0.5,1.0
15,21.305798197136625,21.305798197136625,0.0,-0.010457627118643953,0.5,1.0
16,19.394933966078835,19.394933966078835,0.0,-0.010529914529914475,0.5,1.0
17,17.654138323999298,17.654138323999298,0.0,-0.010603448275862126,0.5,1.0
18,16.068373003184384,16.068373003184384,0.0,-0.010678260869565248,0.5,1.0
19,14.623922116633567,14.623922116633567,0.0,-0.010754385964912183,0.5,1.0
20,13.308276433877229,13.308276433877229,0.0,-0.010831858407079675,0.5,1.0
21,12.11002774150614,12.11002774150614,0.0,-0.010910714285714218,0.5,1.0
22,11.018772412842706,11.018772412842706,0.0,-0.010990990990991212,0.5,1.0
23,10.025023386952244,10.025023386952244,0.0,-0.011072727272727234,0.5,1.0
24,9.120129826423117,9.120129826423117,0.0,-0.011155963302752259,0.5,1.0
25,8.296203786600607,8.296203786600607,0.0,-0.011240740740740551,0.5,1.0
26,7.546053286754699,7.546053286754699,0.0,-0.011327102803738276,0.5,1.0
27,6.863121226467008,6.863121226467008,0.0,-0.011415094339622622,0.5,1.0
28,6.241429638766348,6.241429638766348,0.0,-0.011504761904762018,0.5,1.0
29,5.675528815618848,5.675528815618848,0.0,-0.011596153846153867,0.5,1.0
30,5.160450881646188,5.160450881646188,0.0,-0.011689320388349578,0.5,1.0
31,4.6916674287325355,4.6916674287325355,0.0,-0.01178431372549027,0.5,1.0
32,4.265050857787195,4.265050857787195,0.0,-0.011881188118811559,0.5,1.0
33,3.91599909558589,3.91599909558589,0.0,-0.0020000000000000018,0.5,1.0
34,3.5955137296031414,3.5955137296031414,0.0,-0.0020000000000000018,0.5,1.0
35,3.3012568859724203,3.3012568859724203,0.0,-0.0020000000000000018,0.5,1.0
36,3.0310820224244375,3.0310820224244375,0.0,-0.0020000000000000018,0.5,1.0
37,2.7830182697092214,2.7830182697092214,0.0,-0.0019999999999998908,0.5,1.0
38,2.5552560545162186,2.5552560545162186,0.0,-0.0020000000000000018,0.5,1.0
39,2.3461338990146112,2.3461338990146112,0.0,-0.0020000000000000018,0.5,1.0
40,2.1541263007192555,2.1541263007192555,0.0,-0.0020000000000000018,0.5,1.0
41,1.9778326042683914,1.9778326042683914,0.0,-0.0020000000000000018,0.5,1.0
42,1.8159667839350662,1.8159667839350662,0.0,-0.0020000000000000018,0.5,1.0
43,1.6673480623378203,1.6673480623378203,0.0,-0.0020000000000000018,0.5,1.0
44,1.530892296916093,1.530892296916093,0.0,-0.0020000000000000018,0.5,1.0
45,1.40560407133648,1.40560407133648,0.0,-0.0020000000000000018,0.5,1.0
46,1.2905694341383025,1.2905694341383025,0.0,-0.0020000000000000018,0.5,1.0
47,1.1849492316484238,1.1849492316484238,0.0,-0.0020000000000000018,0.5,1.0
48,1.0879729865303167,1.0879729865303167,0.0,-0.0020000000000000018,0.5,1.0
49,0.9989332773126757,0.9989332773126757,0.0,-0.0020000000000000018,0.5,1.0
50,0.9171805778974061,0.9171805778974061,0.0,-0.0020000000000000018,0.5,1.0
51,0.8421185194022826,0.8421185194022826,0.0,-0.0020000000000000018,0.5,1.0
52,0.7731995397743997,0.7731995397743997,0.0,-0.0020000000000000018,0.5,1.0
53,0.7099208894392628,0.7099208894392628,0.0,-0.0020000000000000018,0.5,1.0
54,0.6518209638475536,0.6518209638475536,0.0,-0.0020000000000000018,0.5,1.0
55,0.5984759361662697,0.5984759361662697,0.0,-0.0020000000000000018,0.5,1.0
56,0.5494966655504222,0.5494966655504222,0.0,-0.0020000000000000018,0.5,1.0
57,0.5045258584417757,0.5045258584417757,0.0,-0.0020000000000000018,0.5,1.0
58,0.46323546218690076,0.46323546218690076,0.0,-0.0020000000000000018,0.5,1.0
59,0.42532427196152484,0.42532427196152484,0.0,-0.0020000000000000018,0.5,1.0
60,0.3905157335441936,0.3905157335441936,0.0,-0.0020000000000000018,0.5,1.0
61,0.3585559259109368,0.3585559259109368,0.0,-0.0020000000000000018,0.5,1.0
62,0.3292117089343857,0.3292117089343857,0.0,-0.0020000000000000018,0.5,1.0
63,0.30226902267519556,0.30226902267519556,0.0,-0.0020000000000000018,0.5,1.0
64,0.27753132585945756,0.27753132585945756,0.0,-0.0020000000000000018,0.5,1.0
65,0.2548181621511195,0.2548181621511195,0.0,-0.0020000000000000018,0.5,1.0
66,0.23396384376067195,0.23396384376067195,0.0,-0.0020000000000000018,0.5,1.0
67,0.21481624278729852,0.21481624278729852,0.0,-0.0020000000000000018,0.5,1.0
68,0.19723568147758602,0.19723568147758602,0.0,-0.0019999999999998908,0.5,1.0
69,0.18109391330546037,0.18109391330546037,0.0,-0.0020000000000000018,0.5,1.0
70,0.1662731874405415,0.1662731874405415,0.0,-0.0020000000000000018,0.5,1.0
71,0.15266538978040758,0.15266538978040758,0.0,-0.0020000000000000018,0.5,1.0
72,0.14017125428077903,0.14017125428077903,0.0,-0.0020000000000000018,0.5,1.0
73,0.12869963883044008,0.12869963883044008,0.0,-0.0020000000000000018,0.5,1.0
74,0.11816686038855684,0.11816686038855684,0.0,-0.002000000000000113,0.5,1.0
75,0.10849608453435734,0.10849608453435734,0.0,-0.0020000000000000018,0.5,1.0
76,0.09961676497606553,0.09961676497606553,0.0,-0.0020000000000000018,0.5,1.0
77,0.09146412893042433,0.09146412893042433,0.0,-0.0020000000000000018,0.5,1.0
78,0.08397870461875839,0.08397870461875839,0.0,-0.0020000000000000018,0.5,1.0
79,0.0771058874327592,0.0771058874327592,0.0,-0.0020000000000000018,0.5,1.0
80,0.07079554160526219,0.07079554160526219,0.0,-0.0020000000000000018,0.5,1.0
81,0.06500163448028753,0.06500163448028753,0.0,-0.0020000000000000018,0.5,1.0
82,0.059681900714420796,0.059681900714420796,0.0,-0.002000000000000113,0.5,1.0
83,0.05479753395995259,0.05479753395995259,0.0,-0.002000000000000113,0.5,1.0
84,0.05031290378067007,0.05031290378067007,0.0,-0.0020000000000000018,0.5,1.0
85,0.04619529573526004,0.04619529573526004,0.0,-0.0020000000000000018,0.5,1.0
86,0.04241467273228635,0.04241467273228635,0.0,-0.0020000000000000018,0.5,1.0
87,0.03894345591587604,0.03894345591587604,0.0,-0.0020000000000000018,0.5,1.0
88,0.03575632348372074,0.03575632348372074,0.0,-0.0020000000000000018,0.5,1.0
89,0.03283002596981303,0.03283002596981303,0.0,-0.002000000000000113,0.5,1.0
90,0.03014321664444353,0.03014321664444353,0.0,-0.0020000000000000018,0.5,1.0
91,0.02767629579426227,0.02767629579426227,0.0,-0.0020000000000000018,0.5,1.0
92,0.025411267746459847,0.025411267746459847,0.0,-0.0020000000000000018,0.5,1.0
93,0.02333160959408957,0.02333160959408957,0.0,-0.0020000000000000018,0.5,1.0
94,0.021422150664909278,0.021422150664909278,0.0,-0.0020000000000000018,0.5,1.0
95,0.019668961854493103,0.019668961854493103,0.0,-0.0020000000000000018,0.5,1.0
96,0.01805925401632139,0.01805925401632139,0.0,-0.0019999999999998908,0.5,1.0
97,0.01658128466762564,0.01658128466762564,0.0,-0.0020000000000000018,0.5,1.0
98,0.015224272330427162,0.015224272330427162,0.0,-0.0019999999999998908,0.5,1.0
99,0.013978317882905003,0.013978317882905003,0.0,-0.0020000000000000018,0.5,1.0
100,0.012834332347368057,0.012834332347368057,0.0,-0.0019999999999998908,0.5,1.0
