t,inn_success_cum,inn_trials_cum,prod_c
1,0,1,1.0
2,0,2,1.0
3,0,3,1.0
4,0,4,1.0
5,0,5,1.0
6,0,6,1.0
7,0,7,1.0
8,0,8,1.0
9,0,9,1.0
10,0,10,1.0
11,0,11,1.0
12,0,12,1.0
13,0,13,1.0
14,0,14,1.0
15,0,15,1.0
16,0,16,1.0
17,0,17,1.0
18,0,18,1.0
19,0,19,1.0
20,0,20,1.0
21,0,21,1.0
22,0,22,1.0
23,0,23,1.0
24,0,24,1.0
25,0,25,1.0
26,1,26,1.0
27,1,27,1.012819022270597
28,1,28,1.012819022270597
29,1,29,1.012819022270597
30,1,30,1.012819022270597
31,1,31,1.012819022270597
32,1,32,1.012819022270597
33,1,33,1.012819022270597
34,1,34,1.012819022270597
35,1,35,1.012819022270597
36,1,36,1.012819022270597
37,1,37,1.012819022270597
38,1,38,1.012819022270597
39,1,39,1.012819022270597
40,1,40,1.012819022270597
41,1,41,1.012819022270597
42,1,42,1.012819022270597
43,1,43,1.012819022270597
44,1,44,1.012819022270597
45,1,45,1.012819022270597
46,2,46,1.012819022270597
47,2,47,1.0167972226829962
48,2,48,1.0167972226829962
49,2,49,1.0167972226829962
50,2,50,1.0167972226829962
51,3,51,1.0167972226829962
52,3,52,1.0173599778702014
53,3,53,1.0173599778702014
54,3,54,1.0173599778702014
55,3,55,1.0173599778702014
56,3,56,1.0173599778702014
57,3,57,1.0173599778702014
58,3,58,1.0173599778702014
59,3,59,1.0173599778702014
60,3,60,1.0173599778702014
61,3,61,1.0173599778702014
62,3,62,1.0173599778702014
63,3,63,1.0173599778702014
64,3,64,1.0173599778702014
65,3,65,1.0173599778702014
66,3,66,1.0173599778702014
67,3,67,1.0173599778702014
68,3,68,1.0173599778702014
69,3,69,1.0173599778702014
70,3,70,1.0173599778702014
71,3,71,1.0173599778702014
72,3,72,1.0173599778702014
73,3,73,1.0173599778702014
74,3,74,1.0173599778702014
75,3,75,1.0173599778702014
76,3,76,1.0173599778702014
77,3,77,1.0173599778702014
78,4,78,1.0173599778702014
79,4,79,1.0186656903463358
80,4,80,1.0186656903463358
81,4,81,1.0186656903463358
82,4,82,1.0186656903463358
83,4,83,1.0186656903463358
84,4,84,1.0186656903463358
85,4,85,1.0186656903463358
86,4,86,1.0186656903463358
87,4,87,1.0186656903463358
88,4,88,1.0186656903463358
89,4,89,1.0186656903463358
90,4,90,1.0186656903463358
91,4,91,1.0186656903463358
92,4,92,1.0186656903463358
93,4,93,1.0186656903463358
94,4,94,1.0186656903463358
95,4,95,1.0186656903463358
96,4,96,1.0186656903463358
97,4,97,1.0186656903463358
98,4,98,1.0186656903463358
99,4,99,1.0186656903463358
100,4,100,1.0186656903463358
101,4,101,1.0186656903463358
102,4,102,1.0186656903463358
103,4,103,1.0186656903463358
104,4,104,1.0186656903463358
105,4,105,1.0186656903463358
106,4,106,1.0186656903463358
107,4,107,1.0186656903463358
108,4,108,1.0186656903463358
109,4,109,1.0186656903463358
110,4,110,1.0186656903463358
111,4,111,1.0186656903463358
112,4,112,1.0186656903463358
113,4,113,1.0186656903463358
114,4,114,1.0186656903463358
115,4,115,1.0186656903463358
116,4,116,1.0186656903463358
117,4,117,1.0186656903463358
118,4,118,1.0186656903463358
119,4,119,1.0186656903463358
120,4,120,1.0186656903463358
121,4,121,1.0186656903463358
122,4,122,1.0186656903463358
123,4,123,1.0186656903463358
124,4,124,1.0186656903463358
125,4,125,1.0186656903463358
126,4,126,1.0186656903463358
127,4,127,1.0186656903463358
128,4,128,1.0186656903463358
129,4,129,1.0186656903463358
130,4,130,1.0186656903463358
131,4,131,1.0186656903463358
132,4,132,1.0186656903463358
133,4,133,1.0186656903463358
134,4,134,1.0186656903463358
135,5,135,1.0186656903463358
136,5,136,1.0194178681825699
137,5,137,1.0194178681825699
138,5,138,1.0194178681825699
139,5,139,1.0194178681825699
140,5,140,1.0194178681825699
141,5,141,1.0194178681825699
142,5,142,1.0194178681825699
143,5,143,1.0194178681825699
144,5,144,1.0194178681825699
145,5,145,1.0194178681825699
146,5,146,1.0194178681825699
147,5,147,1.0194178681825699
148,5,148,1.0194178681825699
149,5,149,1.0194178681825699
150,5,150,1.0194178681825699
151,5,151,1.0194178681825699
152,5,152,1.0194178681825699
153,5,153,1.0194178681825699
154,5,154,1.0194178681825699
155,5,155,1.0194178681825699
156,5,156,1.0194178681825699
157,5,157,1.0194178681825699
158,5,158,1.0194178681825699
159,5,159,1.0194178681825699
160,5,160,1.0194178681825699
161,5,161,1.0194178681825699
162,5,162,1.0194178681825699
163,5,163,1.0194178681825699
164,5,164,1.0194178681825699
165,5,165,1.0194178681825699
166,5,166,1.0194178681825699
167,5,167,1.0194178681825699
168,5,168,1.0194178681825699
169,5,169,1.0194178681825699
170,5,170,1.0194178681825699
171,5,171,1.0194178681825699
172,5,172,1.0194178681825699
173,5,173,1.0194178681825699
174,5,174,1.0194178681825699
175,5,175,1.0194178681825699
176,5,176,1.0194178681825699
177,5,177,1.0194178681825699
178,5,178,1.0194178681825699
179,5,179,1.0194178681825699
