t,step,max_row_abs,max_col_abs
1,3,0.000000000000e+00,0.000000000000e+00
1,12,0.000000000000e+00,0.000000000000e+00
1,16,0.000000000000e+00,0.000000000000e+00
1,19,0.000000000000e+00,0.000000000000e+00
2,3,0.000000000000e+00,0.000000000000e+00
2,12,0.000000000000e+00,0.000000000000e+00
2,16,0.000000000000e+00,0.000000000000e+00
2,19,0.000000000000e+00,0.000000000000e+00
3,3,0.000000000000e+00,0.000000000000e+00
3,12,0.000000000000e+00,0.000000000000e+00
3,16,0.000000000000e+00,0.000000000000e+00
3,19,0.000000000000e+00,0.000000000000e+00
4,3,0.000000000000e+00,0.000000000000e+00
4,12,0.000000000000e+00,0.000000000000e+00
4,16,0.000000000000e+00,0.000000000000e+00
4,19,0.000000000000e+00,0.000000000000e+00
5,3,0.000000000000e+00,0.000000000000e+00
5,12,0.000000000000e+00,0.000000000000e+00
5,16,0.000000000000e+00,0.000000000000e+00
5,19,0.000000000000e+00,0.000000000000e+00
6,3,0.000000000000e+00,0.000000000000e+00
6,12,0.000000000000e+00,0.000000000000e+00
6,16,0.000000000000e+00,0.000000000000e+00
6,19,0.000000000000e+00,0.000000000000e+00
7,3,0.000000000000e+00,0.000000000000e+00
7,12,0.000000000000e+00,0.000000000000e+00
7,16,0.000000000000e+00,0.000000000000e+00
7,19,0.000000000000e+00,0.000000000000e+00
8,3,0.000000000000e+00,0.000000000000e+00
8,12,0.000000000000e+00,0.000000000000e+00
8,16,0.000000000000e+00,0.000000000000e+00
8,19,0.000000000000e+00,0.000000000000e+00
9,3,0.000000000000e+00,0.000000000000e+00
9,12,0.000000000000e+00,0.000000000000e+00
9,16,0.000000000000e+00,0.000000000000e+00
9,19,0.000000000000e+00,0.000000000000e+00
10,3,0.000000000000e+00,0.000000000000e+00
10,12,0.000000000000e+00,0.000000000000e+00
10,16,0.000000000000e+00,0.000000000000e+00
10,19,0.000000000000e+00,0.000000000000e+00
11,3,0.000000000000e+00,0.000000000000e+00
11,12,0.000000000000e+00,0.000000000000e+00
11,16,0.000000000000e+00,0.000000000000e+00
11,19,0.000000000000e+00,0.000000000000e+00
12,3,0.000000000000e+00,0.000000000000e+00
12,12,0.000000000000e+00,0.000000000000e+00
12,16,0.000000000000e+00,0.000000000000e+00
12,19,0.000000000000e+00,0.000000000000e+00
13,3,0.000000000000e+00,0.000000000000e+00
13,12,0.000000000000e+00,0.000000000000e+00
13,16,0.000000000000e+00,0.000000000000e+00
13,19,0.000000000000e+00,0.000000000000e+00
14,3,0.000000000000e+00,0.000000000000e+00
14,12,0.000000000000e+00,0.000000000000e+00
14,16,0.000000000000e+00,0.000000000000e+00
14,19,0.000000000000e+00,0.000000000000e+00
15,3,0.000000000000e+00,0.000000000000e+00
15,12,0.000000000000e+00,0.000000000000e+00
15,16,0.000000000000e+00,0.000000000000e+00
15,19,0.000000000000e+00,0.000000000000e+00
16,3,0.000000000000e+00,0.000000000000e+00
16,12,0.000000000000e+00,0.000000000000e+00
16,16,0.000000000000e+00,0.000000000000e+00
16,19,0.000000000000e+00,0.000000000000e+00
17,3,0.000000000000e+00,0.000000000000e+00
17,12,0.000000000000e+00,0.000000000000e+00
17,16,0.000000000000e+00,0.000000000000e+00
17,19,0.000000000000e+00,0.000000000000e+00
18,3,0.000000000000e+00,0.000000000000e+00
18,12,0.000000000000e+00,0.000000000000e+00
18,16,0.000000000000e+00,0.000000000000e+00
18,19,0.000000000000e+00,0.000000000000e+00
19,3,0.000000000000e+00,0.000000000000e+00
19,12,0.000000000000e+00,0.000000000000e+00
19,16,0.000000000000e+00,0.000000000000e+00
19,19,0.000000000000e+00,0.000000000000e+00
20,3,0.000000000000e+00,0.000000000000e+00
20,12,0.000000000000e+00,0.000000000000e+00
20,16,0.000000000000e+00,0.000000000000e+00
20,19,0.000000000000e+00,0.000000000000e+00
21,3,0.000000000000e+00,0.000000000000e+00
21,12,0.000000000000e+00,0.000000000000e+00
21,16,0.000000000000e+00,0.000000000000e+00
21,19,0.000000000000e+00,0.000000000000e+00
22,3,0.000000000000e+00,0.000000000000e+00
22,12,0.000000000000e+00,0.000000000000e+00
22,16,0.000000000000e+00,0.000000000000e+00
22,19,0.000000000000e+00,0.000000000000e+00
23,3,0.000000000000e+00,0.000000000000e+00
23,12,0.000000000000e+00,0.000000000000e+00
23,16,0.000000000000e+00,0.000000000000e+00
23,19,0.000000000000e+00,0.000000000000e+00
24,3,0.000000000000e+00,0.000000000000e+00
24,12,0.000000000000e+00,0.000000000000e+00
24,16,0.000000000000e+00,0.000000000000e+00
24,19,0.000000000000e+00,0.000000000000e+00
25,3,0.000000000000e+00,0.000000000000e+00
25,12,0.000000000000e+00,0.000000000000e+00
25,16,0.000000000000e+00,0.000000000000e+00
25,19,0.000000000000e+00,0.000000000000e+00
26,3,0.000000000000e+00,0.000000000000e+00
26,12,0.000000000000e+00,0.000000000000e+00
26,16,0.000000000000e+00,0.000000000000e+00
26,19,0.000000000000e+00,0.000000000000e+00
27,3,0.000000000000e+00,0.000000000000e+00
27,12,0.000000000000e+00,0.000000000000e+00
27,16,0.000000000000e+00,0.000000000000e+00
27,19,0.000000000000e+00,0.000000000000e+00
28,3,0.000000000000e+00,0.000000000000e+00
28,12,0.000000000000e+00,0.000000000000e+00
28,16,0.000000000000e+00,0.000000000000e+00
28,19,0.000000000000e+00,0.000000000000e+00
29,3,0.000000000000e+00,0.000000000000e+00
29,12,0.000000000000e+00,0.000000000000e+00
29,16,0.000000000000e+00,0.000000000000e+00
29,19,0.000000000000e+00,0.000000000000e+00
30,3,0.000000000000e+00,0.000000000000e+00
30,12,0.000000000000e+00,0.000000000000e+00
30,16,0.000000000000e+00,0.000000000000e+00
30,19,0.000000000000e+00,0.000000000000e+00
31,3,0.000000000000e+00,0.000000000000e+00
31,12,0.000000000000e+00,0.000000000000e+00
31,16,0.000000000000e+00,0.000000000000e+00
31,19,0.000000000000e+00,0.000000000000e+00
32,3,0.000000000000e+00,0.000000000000e+00
32,12,0.000000000000e+00,0.000000000000e+00
32,16,0.000000000000e+00,0.000000000000e+00
32,19,0.000000000000e+00,0.000000000000e+00
33,3,0.000000000000e+00,0.000000000000e+00
33,12,0.000000000000e+00,0.000000000000e+00
33,16,0.000000000000e+00,0.000000000000e+00
33,19,0.000000000000e+00,0.000000000000e+00
34,3,0.000000000000e+00,0.000000000000e+00
34,12,0.000000000000e+00,0.000000000000e+00
34,16,0.000000000000e+00,0.000000000000e+00
34,19,0.000000000000e+00,0.000000000000e+00
35,3,0.000000000000e+00,0.000000000000e+00
35,12,0.000000000000e+00,0.000000000000e+00
35,16,0.000000000000e+00,0.000000000000e+00
35,19,0.000000000000e+00,0.000000000000e+00
36,3,0.000000000000e+00,0.000000000000e+00
36,12,0.000000000000e+00,0.000000000000e+00
36,16,0.000000000000e+00,0.000000000000e+00
36,19,0.000000000000e+00,0.000000000000e+00
37,3,0.000000000000e+00,0.000000000000e+00
37,12,0.000000000000e+00,0.000000000000e+00
37,16,0.000000000000e+00,0.000000000000e+00
37,19,0.000000000000e+00,0.000000000000e+00
38,3,0.000000000000e+00,0.000000000000e+00
38,12,0.000000000000e+00,0.000000000000e+00
38,16,0.000000000000e+00,0.000000000000e+00
38,19,0.000000000000e+00,0.000000000000e+00
39,3,0.000000000000e+00,0.000000000000e+00
39,12,0.000000000000e+00,0.000000000000e+00
39,16,0.000000000000e+00,0.000000000000e+00
39,19,0.000000000000e+00,0.000000000000e+00
40,3,0.000000000000e+00,0.000000000000e+00
40,12,0.000000000000e+00,0.000000000000e+00
40,16,0.000000000000e+00,0.000000000000e+00
40,19,0.000000000000e+00,0.000000000000e+00
41,3,0.000000000000e+00,0.000000000000e+00
41,12,0.000000000000e+00,0.000000000000e+00
41,16,0.000000000000e+00,0.000000000000e+00
41,19,0.000000000000e+00,0.000000000000e+00
42,3,0.000000000000e+00,0.000000000000e+00
42,12,0.000000000000e+00,0.000000000000e+00
42,16,0.000000000000e+00,0.000000000000e+00
42,19,0.000000000000e+00,0.000000000000e+00
43,3,0.000000000000e+00,0.000000000000e+00
43,12,0.000000000000e+00,0.000000000000e+00
43,16,0.000000000000e+00,0.000000000000e+00
43,19,0.000000000000e+00,0.000000000000e+00
44,3,0.000000000000e+00,0.000000000000e+00
44,12,0.000000000000e+00,0.000000000000e+00
44,16,0.000000000000e+00,0.000000000000e+00
44,19,0.000000000000e+00,0.000000000000e+00
45,3,0.000000000000e+00,0.000000000000e+00
45,12,0.000000000000e+00,0.000000000000e+00
45,16,0.000000000000e+00,0.000000000000e+00
45,19,0.000000000000e+00,0.000000000000e+00
46,3,0.000000000000e+00,0.000000000000e+00
46,12,0.000000000000e+00,0.000000000000e+00
46,16,0.000000000000e+00,0.000000000000e+00
46,19,0.000000000000e+00,0.000000000000e+00
47,3,0.000000000000e+00,0.000000000000e+00
47,12,0.000000000000e+00,0.000000000000e+00
47,16,0.000000000000e+00,0.000000000000e+00
47,19,0.000000000000e+00,0.000000000000e+00
48,3,0.000000000000e+00,0.000000000000e+00
48,12,0.000000000000e+00,0.000000000000e+00
48,16,0.000000000000e+00,0.000000000000e+00
48,19,0.000000000000e+00,0.000000000000e+00
49,3,0.000000000000e+00,0.000000000000e+00
49,12,0.000000000000e+00,0.000000000000e+00
49,16,0.000000000000e+00,0.000000000000e+00
49,19,0.000000000000e+00,0.000000000000e+00
50,3,0.000000000000e+00,0.000000000000e+00
50,12,0.000000000000e+00,0.000000000000e+00
50,16,0.000000000000e+00,0.000000000000e+00
50,19,0.000000000000e+00,0.000000000000e+00
51,3,0.000000000000e+00,0.000000000000e+00
51,12,0.000000000000e+00,0.000000000000e+00
51,16,0.000000000000e+00,0.000000000000e+00
51,19,0.000000000000e+00,0.000000000000e+00
52,3,0.000000000000e+00,0.000000000000e+00
52,12,0.000000000000e+00,0.000000000000e+00
52,16,0.000000000000e+00,0.000000000000e+00
52,19,0.000000000000e+00,0.000000000000e+00
53,3,0.000000000000e+00,0.000000000000e+00
53,12,0.000000000000e+00,0.000000000000e+00
53,16,0.000000000000e+00,0.000000000000e+00
53,19,0.000000000000e+00,0.000000000000e+00
54,3,0.000000000000e+00,0.000000000000e+00
54,12,0.000000000000e+00,0.000000000000e+00
54,16,0.000000000000e+00,0.000000000000e+00
54,19,0.000000000000e+00,0.000000000000e+00
55,3,0.000000000000e+00,0.000000000000e+00
55,12,0.000000000000e+00,0.000000000000e+00
55,16,0.000000000000e+00,0.000000000000e+00
55,19,0.000000000000e+00,0.000000000000e+00
56,3,0.000000000000e+00,0.000000000000e+00
56,12,0.000000000000e+00,0.000000000000e+00
56,16,0.000000000000e+00,0.000000000000e+00
56,19,0.000000000000e+00,0.000000000000e+00
57,3,0.000000000000e+00,0.000000000000e+00
57,12,0.000000000000e+00,0.000000000000e+00
57,16,0.000000000000e+00,0.000000000000e+00
57,19,0.000000000000e+00,0.000000000000e+00
58,3,0.000000000000e+00,0.000000000000e+00
58,12,0.000000000000e+00,0.000000000000e+00
58,16,0.000000000000e+00,0.000000000000e+00
58,19,0.000000000000e+00,0.000000000000e+00
59,3,0.000000000000e+00,0.000000000000e+00
59,12,0.000000000000e+00,0.000000000000e+00
59,16,0.000000000000e+00,0.000000000000e+00
59,19,0.000000000000e+00,0.000000000000e+00
60,3,0.000000000000e+00,0.000000000000e+00
60,12,0.000000000000e+00,0.000000000000e+00
60,16,0.000000000000e+00,0.000000000000e+00
60,19,0.000000000000e+00,0.000000000000e+00
61,3,0.000000000000e+00,0.000000000000e+00
61,12,0.000000000000e+00,0.000000000000e+00
61,16,0.000000000000e+00,0.000000000000e+00
61,19,0.000000000000e+00,0.000000000000e+00
62,3,0.000000000000e+00,0.000000000000e+00
62,12,0.000000000000e+00,0.000000000000e+00
62,16,0.000000000000e+00,0.000000000000e+00
62,19,0.000000000000e+00,0.000000000000e+00
63,3,0.000000000000e+00,0.000000000000e+00
63,12,0.000000000000e+00,0.000000000000e+00
63,16,0.000000000000e+00,0.000000000000e+00
63,19,0.000000000000e+00,0.000000000000e+00
64,3,0.000000000000e+00,0.000000000000e+00
64,12,0.000000000000e+00,0.000000000000e+00
64,16,0.000000000000e+00,0.000000000000e+00
64,19,0.000000000000e+00,0.000000000000e+00
65,3,0.000000000000e+00,0.000000000000e+00
65,12,0.000000000000e+00,0.000000000000e+00
65,16,0.000000000000e+00,0.000000000000e+00
65,19,0.000000000000e+00,0.000000000000e+00
66,3,0.000000000000e+00,0.000000000000e+00
66,12,0.000000000000e+00,0.000000000000e+00
66,16,0.000000000000e+00,0.000000000000e+00
66,19,0.000000000000e+00,0.000000000000e+00
67,3,0.000000000000e+00,0.000000000000e+00
67,12,0.000000000000e+00,0.000000000000e+00
67,16,0.000000000000e+00,0.000000000000e+00
67,19,0.000000000000e+00,0.000000000000e+00
68,3,0.000000000000e+00,0.000000000000e+00
68,12,0.000000000000e+00,0.000000000000e+00
68,16,0.000000000000e+00,0.000000000000e+00
68,19,0.000000000000e+00,0.000000000000e+00
69,3,0.000000000000e+00,0.000000000000e+00
69,12,0.000000000000e+00,0.000000000000e+00
69,16,0.000000000000e+00,0.000000000000e+00
69,19,0.000000000000e+00,0.000000000000e+00
70,3,0.000000000000e+00,0.000000000000e+00
70,12,0.000000000000e+00,0.000000000000e+00
70,16,0.000000000000e+00,0.000000000000e+00
70,19,0.000000000000e+00,0.000000000000e+00
71,3,0.000000000000e+00,0.000000000000e+00
71,12,0.000000000000e+00,0.000000000000e+00
71,16,0.000000000000e+00,0.000000000000e+00
71,19,0.000000000000e+00,0.000000000000e+00
72,3,0.000000000000e+00,0.000000000000e+00
72,12,0.000000000000e+00,0.000000000000e+00
72,16,0.000000000000e+00,0.000000000000e+00
72,19,0.000000000000e+00,0.000000000000e+00
73,3,0.000000000000e+00,0.000000000000e+00
73,12,0.000000000000e+00,0.000000000000e+00
73,16,0.000000000000e+00,0.000000000000e+00
73,19,0.000000000000e+00,0.000000000000e+00
74,3,0.000000000000e+00,0.000000000000e+00
74,12,0.000000000000e+00,0.000000000000e+00
74,16,0.000000000000e+00,0.000000000000e+00
74,19,0.000000000000e+00,0.000000000000e+00
75,3,0.000000000000e+00,0.000000000000e+00
75,12,0.000000000000e+00,0.000000000000e+00
75,16,0.000000000000e+00,0.000000000000e+00
75,19,0.000000000000e+00,0.000000000000e+00
76,3,0.000000000000e+00,0.000000000000e+00
76,12,0.000000000000e+00,0.000000000000e+00
76,16,0.000000000000e+00,0.000000000000e+00
76,19,0.000000000000e+00,0.000000000000e+00
77,3,0.000000000000e+00,0.000000000000e+00
