t,step,max_row_abs,max_col_abs
1,3,0.000000000000e+00,0.000000000000e+00
1,7,0.000000000000e+00,0.000000000000e+00
1,12,0.000000000000e+00,0.000000000000e+00
1,16,0.000000000000e+00,0.000000000000e+00
1,19,0.000000000000e+00,0.000000000000e+00
2,3,0.000000000000e+00,0.000000000000e+00
2,7,0.000000000000e+00,0.000000000000e+00
2,12,0.000000000000e+00,0.000000000000e+00
2,16,0.000000000000e+00,0.000000000000e+00
2,19,0.000000000000e+00,0.000000000000e+00
3,3,0.000000000000e+00,0.000000000000e+00
3,7,0.000000000000e+00,0.000000000000e+00
3,12,0.000000000000e+00,0.000000000000e+00
3,16,0.000000000000e+00,0.000000000000e+00
3,19,0.000000000000e+00,0.000000000000e+00
4,3,0.000000000000e+00,0.000000000000e+00
4,7,0.000000000000e+00,0.000000000000e+00
4,12,0.000000000000e+00,0.000000000000e+00
4,16,0.000000000000e+00,0.000000000000e+00
4,19,0.000000000000e+00,0.000000000000e+00
5,3,0.000000000000e+00,0.000000000000e+00
5,7,0.000000000000e+00,0.000000000000e+00
5,12,0.000000000000e+00,0.000000000000e+00
5,16,0.000000000000e+00,0.000000000000e+00
5,19,0.000000000000e+00,0.000000000000e+00
