t,step,label,ts
1,1,01_production_planning,1757765912344593840
1,2,02_labor_demand,1757765912344600140
1,3,03_prices_interest_reservation_wage_revision,1757765912358467034
1,4,04_desired_capacity_growth,1757765912358540177
1,5,05_capital_market_vintage_choice,1757765912358545181
1,6,06_credit_demand,1757765912358549387
1,7,07_credit_supply,1757765912368471428
1,8,08_labor_markets_w_o_r_m,1757765912368552629
1,9,09_production,1757765912368559941
1,10,10_research_and_development,1757765912368563821
1,11,11_capital_purchase_delivery_next,1757765912368570300
1,12,12_consumption_market,1757765912385685306
1,13,13_interest_and_principal_payments,1757765912385756031
1,14,14_wages_and_dole,1757765912385764640
1,15,15_taxes,1757765912385770935
1,16,16_dividends,1757765912395302331
1,17,17_deposit_market,1757765912395628445
1,18,18_bond_purchases,1757765912395652706
1,19,19_cb_advances,1757765912407562474
2,1,01_production_planning,1757765912407636142
2,2,02_labor_demand,1757765912407638902
2,3,03_prices_interest_reservation_wage_revision,1757765912418631291
2,4,04_desired_capacity_growth,1757765912418672719
2,5,05_capital_market_vintage_choice,1757765912418676878
2,6,06_credit_demand,1757765912418680483
2,7,07_credit_supply,1757765912426818158
2,8,08_labor_markets_w_o_r_m,1757765912426911488
2,9,09_production,1757765912426919513
2,10,10_research_and_development,1757765912426925796
2,11,11_capital_purchase_delivery_next,1757765912426934224
2,12,12_consumption_market,1757765912441389034
2,13,13_interest_and_principal_payments,1757765912441530879
2,14,14_wages_and_dole,1757765912441555956
2,15,15_taxes,1757765912441560106
2,16,16_dividends,1757765912453431456
2,17,17_deposit_market,1757765912453475104
2,18,18_bond_purchases,1757765912453478858
2,19,19_cb_advances,1757765912462817655
3,1,01_production_planning,1757765912462911168
3,2,02_labor_demand,1757765912462914216
3,3,03_prices_interest_reservation_wage_revision,1757765912473957301
3,4,04_desired_capacity_growth,1757765912474096083
3,5,05_capital_market_vintage_choice,1757765912474106161
3,6,06_credit_demand,1757765912474114216
3,7,07_credit_supply,1757765912483299240
3,8,08_labor_markets_w_o_r_m,1757765912483344491
3,9,09_production,1757765912483348593
3,10,10_research_and_development,1757765912483351037
3,11,11_capital_purchase_delivery_next,1757765912483354609
3,12,12_consumption_market,1757765912490640058
3,13,13_interest_and_principal_payments,1757765912490682945
3,14,14_wages_and_dole,1757765912490686259
3,15,15_taxes,1757765912490689036
3,16,16_dividends,1757765912498665639
3,17,17_deposit_market,1757765912498755157
3,18,18_bond_purchases,1757765912498767211
3,19,19_cb_advances,1757765912510072235
4,1,01_production_planning,1757765912510138735
4,2,02_labor_demand,1757765912510141870
4,3,03_prices_interest_reservation_wage_revision,1757765912518168204
4,4,04_desired_capacity_growth,1757765912518204258
4,5,05_capital_market_vintage_choice,1757765912518207811
4,6,06_credit_demand,1757765912518210516
4,7,07_credit_supply,1757765912525848706
4,8,08_labor_markets_w_o_r_m,1757765912525937221
4,9,09_production,1757765912525941713
4,10,10_research_and_development,1757765912525944478
4,11,11_capital_purchase_delivery_next,1757765912525948268
4,12,12_consumption_market,1757765912533343656
4,13,13_interest_and_principal_payments,1757765912533384326
4,14,14_wages_and_dole,1757765912533387457
4,15,15_taxes,1757765912533390630
4,16,16_dividends,1757765912541783410
4,17,17_deposit_market,1757765912541829097
4,18,18_bond_purchases,1757765912541836141
4,19,19_cb_advances,1757765912551720712
5,1,01_production_planning,1757765912551834764
5,2,02_labor_demand,1757765912551844588
5,3,03_prices_interest_reservation_wage_revision,1757765912560446413
5,4,04_desired_capacity_growth,1757765912560481227
5,5,05_capital_market_vintage_choice,1757765912560484516
5,6,06_credit_demand,1757765912560487903
5,7,07_credit_supply,1757765912567756316
5,8,08_labor_markets_w_o_r_m,1757765912567790988
5,9,09_production,1757765912567794177
5,10,10_research_and_development,1757765912567796387
5,11,11_capital_purchase_delivery_next,1757765912567799595
5,12,12_consumption_market,1757765912575063506
5,13,13_interest_and_principal_payments,1757765912575097497
5,14,14_wages_and_dole,1757765912575101020
5,15,15_taxes,1757765912575103469
5,16,16_dividends,1757765912582465580
5,17,17_deposit_market,1757765912582534098
5,18,18_bond_purchases,1757765912582537905
5,19,19_cb_advances,1757765912590517967
